source,competition_instance,family,initial_makespan,ub,initial_minus_ub,initial_gap_pct,status,trace_file
Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,89,80,9.000,11.25,OK,results\initial_gap_tail_traces_2026-05-01_002953\01_Behnke42.log
Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,116,108,8.000,7.41,OK,results\initial_gap_tail_traces_2026-05-01_002953\02_Behnke46.log
Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,401,431,-30.000,-6.96,OK,results\initial_gap_tail_traces_2026-05-01_002953\03_Behnke60.log
BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,701,471,230.000,48.83,OK,results\initial_gap_tail_traces_2026-05-01_002953\04_BrandimarteMk12.log
BrandimarteMk14,1_Brandimarte_14_workers,Brandimarte,736,640,96.000,15.00,OK,results\initial_gap_tail_traces_2026-05-01_002953\05_BrandimarteMk14.log
BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,260,137,123.000,89.78,OK,results\initial_gap_tail_traces_2026-05-01_002953\06_BrandimarteMk7.log
Hurinksdata18,2a_Hurink_sdata_18_workers,Hurink_sdata,1565,1138,427.000,37.52,OK,results\initial_gap_tail_traces_2026-05-01_002953\07_Hurinksdata18.log
Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,61,51.9999999894,9.000,17.31,OK,results\initial_gap_tail_traces_2026-05-01_002953\08_Hurinksdata1.log
Hurinksdata38,2a_Hurink_sdata_38_workers,Hurink_sdata,2564,1738,826.000,47.53,OK,results\initial_gap_tail_traces_2026-05-01_002953\09_Hurinksdata38.log
Hurinksdata40,2a_Hurink_sdata_40_workers,Hurink_sdata,1792,1329,463.000,34.84,OK,results\initial_gap_tail_traces_2026-05-01_002953\10_Hurinksdata40.log
Hurinksdata54,2a_Hurink_sdata_54_workers,Hurink_sdata,10600,7830,2770.000,35.38,OK,results\initial_gap_tail_traces_2026-05-01_002953\11_Hurinksdata54.log
Hurinksdata61,2a_Hurink_sdata_61_workers,Hurink_sdata,1200,832,368.000,44.23,OK,results\initial_gap_tail_traces_2026-05-01_002953\12_Hurinksdata61.log
Hurinksdata63,2a_Hurink_sdata_63_workers,Hurink_sdata,468,386,82.000,21.24,OK,results\initial_gap_tail_traces_2026-05-01_002953\13_Hurinksdata63.log
Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,66,50.9999972,15.000,29.41,OK,results\initial_gap_tail_traces_2026-05-01_002953\14_Hurinkedata1.log
Hurinkedata6,2b_Hurink_edata_6_workers,Hurink_edata,750,541,209.000,38.63,OK,results\initial_gap_tail_traces_2026-05-01_002953\15_Hurinkedata6.log
Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,1230,775,455.000,58.71,OK,results\initial_gap_tail_traces_2026-05-01_002953\16_Hurinkrdata28.log
Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,2332,1471,861.000,58.53,OK,results\initial_gap_tail_traces_2026-05-01_002953\17_Hurinkrdata38.log
Hurinkrdata50,2c_Hurink_rdata_50_workers,Hurink_rdata,7428,5701,1727.000,30.29,OK,results\initial_gap_tail_traces_2026-05-01_002953\18_Hurinkrdata50.log
Hurinkvdata18,2d_Hurink_vdata_18_workers,Hurink_vdata,1513,1039,474.000,45.62,OK,results\initial_gap_tail_traces_2026-05-01_002953\19_Hurinkvdata18.log
Hurinkvdata30,2d_Hurink_vdata_30_workers,Hurink_vdata,1581,1018,563.000,55.30,OK,results\initial_gap_tail_traces_2026-05-01_002953\20_Hurinkvdata30.log
Hurinkvdata5,2d_Hurink_vdata_5_workers,Hurink_vdata,654,504,150.000,29.76,OK,results\initial_gap_tail_traces_2026-05-01_002953\21_Hurinkvdata5.log
DPpaulli15,3_DPpaulli_15_workers,DPpaulli,3142,2071,1071.000,51.71,OK,results\initial_gap_tail_traces_2026-05-01_002953\22_DPpaulli15.log
DPpaulli18,3_DPpaulli_18_workers,DPpaulli,2928,2069,859.000,41.52,OK,results\initial_gap_tail_traces_2026-05-01_002953\23_DPpaulli18.log
DPpaulli1,3_DPpaulli_1_workers,DPpaulli,2975,2486,489.000,19.67,OK,results\initial_gap_tail_traces_2026-05-01_002953\24_DPpaulli1.log
DPpaulli9,3_DPpaulli_9_workers,DPpaulli,2939,1968,971.000,49.34,OK,results\initial_gap_tail_traces_2026-05-01_002953\25_DPpaulli9.log
ChambersBarnes10,4_ChambersBarnes_10_workers,ChambersBarnes,1148,893,255.000,28.56,OK,results\initial_gap_tail_traces_2026-05-01_002953\26_ChambersBarnes10.log
Kacem3,5_Kacem_3_workers,Kacem,9,7,2.000,28.57,OK,results\initial_gap_tail_traces_2026-05-01_002953\27_Kacem3.log
Kacem4,5_Kacem_4_workers,Kacem,16,11,5.000,45.45,OK,results\initial_gap_tail_traces_2026-05-01_002953\28_Kacem4.log
Fattahi14,6_Fattahi_14_workers,Fattahi,684,537.999999108,146.000,27.14,OK,results\initial_gap_tail_traces_2026-05-01_002953\29_Fattahi14.log
Fattahi20,6_Fattahi_20_workers,Fattahi,1749,1147,602.000,52.48,OK,results\initial_gap_tail_traces_2026-05-01_002953\30_Fattahi20.log
